# 3D point list with one line of data per point:
# POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 879, mean track length: 2.0534698521046644
1 0.8929868686315787 0.10134017349537304 -0.38604282409762214 32 35 34 0.015306894116200728 1 478 2 711
2 0.961368582997414 0.10051980419537544 -0.3878039697554821 59 59 60 0.019766841172101306 1 544 2 770
3 0.961368582997414 0.10051980419537544 -0.3878039697554821 59 59 60 0.019766841172101306 1 545 2 771
4 0.9536014451931589 0.09468499334491194 -0.37154975656914846 48 51 52 0.006337508585406411 2 778 27 419
5 0.9505620877305887 0.08839890594784906 -0.38680180950615245 190 194 193 0.02997406006486284 1 605 2 835
6 0.9722798874081219 0.08677632938246202 -0.37967166386043044 203 203 203 0.25037252697067547 2 847 11 589
7 0.9722798874081219 0.08677632938246202 -0.37967166386043044 203 203 203 0.25037252697067547 2 848 11 590
8 1.001151570727895 0.07595320522421696 -0.3853797450908336 185 193 192 0.009575398194611565 1 722 2 943
9 0.989007538021979 0.06790415288447524 -0.38519367611666055 188 196 193 0.025551542701886865 1 780 2 1000
10 0.9914194844012442 0.06892051707358465 -0.3890070847762456 189 195 193 0.40594614774470134 1 781 2 1001 3 1199
11 1.0009565821004014 0.06816033937122826 -0.3848099210018763 187 194 192 0.018203752719447026 1 787 2 1002
12 0.9893691713293807 0.06247825225455043 -0.38880212330281605 58 63 68 0.4026419084047236 1 834 2 1042 3 1226
13 1.0957777404580273 0.06278237370336612 -0.38744594872784066 135 141 141 0.026820373435492664 1 883 2 1066
14 1.0876242924095578 0.03659782637769766 -0.3871963671059734 152 163 163 0.023621808471695947 1 1040 2 1213
15 1.0769131661034803 0.032390583339156 -0.3855677950726688 100 107 108 0.3248878771975444 1 1061 2 1240 5 1787
16 1.085604578065139 0.02094702411746234 -0.3874826399789039 124 124 126 0.026035467040209065 1 1140 2 1312
17 1.105265838241399 0.012212665517869769 -0.38648827396947705 120 123 122 0.032533779693439804 1 1193 2 1369
18 1.0835912275498167 0.009381808473817838 -0.38649437194235725 156 162 164 0.02396375322579349 1 1205 2 1381
19 0.8701925276802657 0.0003726065142092313 -0.3863910123262264 39 39 40 0.025385320391695197 1 1231 2 1460
20 1.1012478893246427 0.004900833209472267 -0.387793808645194 133 140 139 0.009335379471626269 1 1234 2 1409
21 0.9617307033747989 -0.03449431382065308 -0.3849907414214347 48 55 57 0.013000847421132817 1 1482 2 1663
22 0.9361578776774115 0.07968623160490798 -0.3919224814798998 34 40 42 0.018640555679244435 1 661 3 1109
23 0.9278511169515854 0.0786106088082486 -0.3960399660078273 31 36 37 0.011086042073504832 1 667 3 1125
24 0.9311959063020244 0.0767951584481046 -0.3907086134396137 181 189 186 0.019959903242960424 1 671 3 1130
25 0.9394813884066341 0.07697405132282172 -0.39048233555019857 180 188 187 0.035662653378653736 1 674 3 1132
26 0.9394813884066341 0.07697405132282172 -0.39048233555019857 180 188 187 0.035662653378653736 1 675 3 1133
27 1.0065045390037615 0.07307487035420229 -0.3889411066678644 70 77 81 0.0062402468075786 1 761 3 1173
28 0.9280743851368839 0.06521326016446953 -0.39102676613789217 43 37 35 0.029941775396725163 1 764 3 1209
29 0.9280743851368839 0.06521326016446953 -0.39102676613789217 43 37 35 0.029941775396725163 1 765 3 1210
30 0.9606982134174691 0.04413722464377979 -0.3895860922069866 186 192 192 0.02700068618465422 1 942 3 1301
31 0.9645549935458028 0.03787999926247539 -0.3906096349255349 43 45 46 0.024621520841792546 1 985 3 1319
32 0.9671933640243577 0.029287405247884864 -0.38898099019358645 42 50 52 0.002043279020163884 1 1046 3 1357
33 0.9523734811805311 0.025496960233134133 -0.389203346936335 184 191 190 0.025525415483614946 1 1073 3 1373
34 1.009009912451038 0.027452893838983236 -0.3884130358975324 60 70 73 0.01884566294389551 1 1078 3 1360
35 0.9357895469774509 -0.0023871832281324107 -0.39010418921065626 38 40 41 0.015356732594197954 1 1261 3 1495
36 1.0009096785683098 -0.050782933728524826 -0.3851051365253934 36 43 44 0.006186170920326326 1 1569 3 1646
37 0.9872455791528033 -0.04935118150902516 -0.38068651369229806 202 202 204 0.4450003504566065 3 1648 11 2372
38 0.9947181587210517 -0.05436407035476181 -0.3856340848208232 39 46 50 0.02070125975803275 1 1596 3 1657
39 0.9947181587210517 -0.05436407035476181 -0.3856340848208232 39 46 50 0.02070125975803275 1 1597 3 1656
40 0.9630213499636064 -0.05660172908515556 -0.38449774099492073 22 28 28 0.014001430642683114 1 1616 3 1670
41 0.9879100421192518 -0.0584870634289952 -0.3864437111664686 36 39 45 0.03213349731781091 1 1626 3 1668
42 0.9997347916077258 -0.06001997494633413 -0.3858489839662873 190 193 193 0.0052422098401653195 1 1628 3 1669
43 0.90567825695881 0.09099544909071454 -0.38330294017096156 40 44 46 0.4655771690301199 1 551 5 1338 12 148
44 1.0875705300903915 0.11198825669216761 -0.38682135355265773 98 103 103 0.009827918973490309 1 571 5 1295
45 1.0847553162825836 0.10640022215396922 -0.38696151083968355 150 160 157 0.003785452309479783 1 598 5 1326
46 1.087990270438283 0.09155076382782315 -0.3873938386001959 125 131 136 0.0034067449287877383 1 682 5 1409
47 1.0857976586419287 0.08118211421225582 -0.3869330380442693 156 158 157 0.394319852528555 1 756 5 1481 2 949
48 1.073572015771579 0.0768114442486441 -0.38584706346523295 190 194 189 0.008555134656517359 1 776 5 1504
49 1.0838729430287062 0.0695913137778323 -0.38716036906900786 103 103 103 0.18262372204537342 1 839 5 1567 2 1027
50 1.0798579238116073 0.05933702386397968 -0.3918017667913662 188 195 189 0.02295466080029112 1 906 5 1629
51 1.0838014872450763 0.05769974283358858 -0.3863056779146387 140 143 143 0.42255865831442085 1 911 5 1643 2 1088
52 1.0989503042165625 0.05362747836404338 -0.3811758474682023 106 109 108 0.007110574309390526 1 935 5 1656
53 1.0860176371319554 0.04923011412176157 -0.38558707632472844 154 158 159 0.0061808118914720555 1 960 5 1692
54 1.0892551013111746 0.04255364955646687 -0.38445466381999377 145 153 148 0.03131821326661418 1 1004 5 1727
55 1.0892551013111746 0.04255364955646687 -0.38445466381999377 145 153 148 0.03131821326661418 1 1005 5 1728
56 1.0834045936289523 0.03931041797240611 -0.3866374384600576 160 167 161 0.019320966810395388 1 1017 5 1742
57 1.0962073001601869 0.037690744186657583 -0.3857054331292187 139 145 144 0.017092494184905032 1 1035 5 1751
58 1.099497893750927 0.03747779779201788 -0.38515648018087406 95 96 98 0.023299727691702608 1 1038 5 1754
59 1.0838954516021448 0.03370967742052507 -0.3868199532801528 164 166 166 0.011201704107654168 1 1054 5 1780
60 1.0916492601116723 0.03234056744928111 -0.3861238171633416 141 149 147 0.0331944368038078 1 1068 5 1786
61 1.08431038930447 0.03179855370125203 -0.3856450481075596 95 97 100 0.00477499976204953 1 1071 5 1788
62 1.0846464940650888 0.03049228779041436 -0.39004891558362054 164 170 170 0.02944863431403017 1 1086 5 1798
63 1.0885139392811687 0.026034582931640047 -0.38489380838883164 111 112 112 0.0132225886294044 1 1113 5 1824
64 1.0965576326672728 0.025807623862325393 -0.3833868410944571 143 149 149 0.011970915516290368 1 1115 5 1825
65 1.0786845934050662 0.022345694313350997 -0.3872040956609335 117 119 120 0.28438065516868943 1 1123 5 1855 2 1302
66 1.0923465427124188 0.013375510859351625 -0.38585218048390607 148 152 152 0.24771781103290802 1 1187 5 1901 2 1358
67 0.9813307116877065 0.07710009853017885 -0.37880982521952145 60 59 63 0.015593070559438238 1 683 10 355
68 0.9813307116877065 0.07710009853017885 -0.37880982521952145 60 59 63 0.015593070559438238 1 684 10 356
69 0.9911088099749961 0.010878578168894383 -0.37672313713398975 191 194 193 0.02269740381510104 1 1169 10 690
70 0.982077176556193 0.007658158974730939 -0.3780687755453027 60 67 71 0.017776748305496595 1 1194 10 704
71 0.958602431297019 0.005286340913332111 -0.3781029320962198 35 43 42 0.024056501961757064 1 1202 10 707
72 0.958602431297019 0.005286340913332111 -0.3781029320962198 35 43 42 0.024056501961757064 1 1203 10 708
73 0.9826494659597105 -0.002310132511843347 -0.3771355362794067 61 69 70 0.028082735155143028 1 1258 10 753
74 0.9826494659597105 -0.002310132511843347 -0.3771355362794067 61 69 70 0.028082735155143028 1 1260 10 754
75 0.9617972020878717 -0.026018363627616416 -0.3789862133103789 51 59 60 0.03188762384848124 1 1427 10 904
76 0.9715180337992142 -0.038122548782863426 -0.3765176292085441 188 196 193 0.0045951489657854675 1 1506 10 980
77 0.9545191193762174 -0.09447380340158906 -0.376214094654587 39 49 54 0.027022710756059685 1 1843 10 1240
78 0.8888819568848602 0.10473677656861408 -0.3782318883080749 38 41 44 0.005491210078918399 1 431 11 305
79 0.9290958955615353 0.07193744970155468 -0.376934156881732 54 46 45 0.009609181172040215 1 677 11 716
80 0.9290958955615353 0.07193744970155468 -0.376934156881732 54 46 45 0.009609181172040215 1 678 11 717
81 0.9209856385823756 0.06457219438332723 -0.3771727009446437 199 202 201 0.008423460603027615 1 731 11 806
82 0.9209856385823756 0.06457219438332723 -0.3771727009446437 199 202 201 0.008423460603027615 1 732 11 807
83 0.9317314778234723 0.06584086903472988 -0.3819806452170514 36 40 42 0.007091823263080448 1 742 12 306
84 0.9317314778234723 0.06584086903472988 -0.3819806452170514 36 40 42 0.007091823263080448 1 743 12 307
85 0.9327210921392984 0.06087654862137623 -0.3767508840378377 39 45 45 0.016624717131871334 1 778 11 877
86 0.9149178480745856 0.05390747890155872 -0.3775272785894215 203 203 203 0.01227899574643948 1 832 11 946
87 0.9966203935512633 0.05751931497221532 -0.374085687018622 82 81 85 0.03279900579873255 1 849 11 958
88 0.9392168206097251 0.0477374414516254 -0.37687308511082374 45 51 53 0.014307732809037946 1 885 11 1052
89 0.961832766938848 0.03768149383992504 -0.37502496770642846 203 203 203 0.031097119933152922 1 968 11 1188
90 0.9662183333615671 0.03407693607095675 -0.37461124377755256 63 66 67 0.025666682577845806 1 993 11 1246
91 0.8947832269859267 0.026954718951032682 -0.3775953854950423 35 35 39 0.014296125268230453 1 1018 11 1304
92 0.9393145913630284 0.017911422156824574 -0.3754789434901293 202 202 202 0.02559855136738149 1 1114 11 1441
93 0.9827980150746386 0.00020583625385422815 -0.37396950579122934 81 84 90 0.005097209372245221 1 1238 11 1694
94 0.9877624262813264 -3.200554858885616e-05 -0.37212439970097627 202 205 204 0.01935162731421097 1 1241 11 1692
95 0.9326181769559684 -0.0010822076192964153 -0.3748100134800677 196 202 200 0.02495477798890551 1 1242 11 1687
96 0.9326181769559684 -0.0010822076192964153 -0.3748100134800677 196 202 200 0.02495477798890551 1 1243 11 1688
97 0.959503333509346 -0.019465768274823846 -0.3741042868774562 200 203 202 0.0351608758030001 1 1369 11 1956
98 0.9538668540916695 -0.021716275218373125 -0.3740428983614066 203 206 207 0.024244212736809906 1 1389 11 1977
99 0.9278942799087287 -0.025490067416377857 -0.3770829121269515 38 46 45 0.009572004068942373 1 1423 11 2027
100 0.9278942799087287 -0.025490067416377857 -0.3770829121269515 38 46 45 0.009572004068942373 1 1424 11 2028
101 0.9553467312047105 -0.03122409834896522 -0.3736293223784332 59 64 67 0.030689240494553315 1 1453 11 2105
102 0.9553467312047105 -0.03122409834896522 -0.3736293223784332 59 64 67 0.030689240494553315 1 1454 11 2106
103 0.9516635743800609 -0.031189976188318588 -0.3739828920941264 197 201 200 0.02724667571151131 1 1456 11 2103
104 0.9516635743800609 -0.031189976188318588 -0.3739828920941264 197 201 200 0.02724667571151131 1 1458 11 2102
105 0.8739540245997166 -0.04875188155248577 -0.37752548363091454 27 30 30 0.012952909281796536 1 1591 11 2344
106 0.8739540245997166 -0.04875188155248577 -0.37752548363091454 27 30 30 0.012952909281796536 1 1592 11 2345
107 0.9272288527136999 -0.0578609138875489 -0.3733685600381176 189 196 199 0.016257064182326454 1 1643 11 2470
108 0.9821586651198353 -0.061548666344559126 -0.37284931100528784 202 202 204 0.03506912846120025 1 1654 11 2524
109 0.9821586651198353 -0.061548666344559126 -0.37284931100528784 202 202 204 0.03506912846120025 1 1655 11 2527
110 0.9279923236348334 -0.06132869680960127 -0.3740732269581232 193 197 196 0.01400594315014476 1 1671 11 2528
111 0.9250631332722261 -0.06194320228344842 -0.3743567413223259 191 197 195 0.02705480404293258 1 1677 11 2532
112 0.9587047489707681 -0.08763713583260688 -0.3731869496225812 199 205 205 0.03288947193552506 1 1822 11 2840
113 0.8311512570337908 0.12399912592485157 -0.3868551767837582 193 193 193 0.019385113728966553 1 320 12 73
114 0.8334147843869699 0.11005466507538543 -0.38579281980895275 155 151 154 0.0046488019279195755 1 387 12 84
115 0.8334147843869699 0.11005466507538543 -0.38579281980895275 155 151 154 0.0046488019279195755 1 388 12 85
116 0.8329645434634171 0.09482939279700822 -0.3837287160123892 155 148 152 0.010596109160884546 1 457 12 105
117 0.9916252636566251 0.10095811873677796 -0.3794136725367683 33 39 39 0.018938918920736608 1 553 12 166
118 0.8330166354907987 0.0703918570365634 -0.3822853914062337 195 194 194 0.02504611235039481 1 619 12 187
119 0.8679327494300576 0.0721303055271157 -0.3810241034274663 35 32 32 0.005809690152828895 1 634 12 214
120 0.8314126577972701 0.050488620472298275 -0.38274246467063133 189 191 192 0.0024271280291997843 1 801 12 314
121 0.8309788525237316 0.03808620125705182 -0.38129462733972525 189 192 193 0.01902106090127955 1 903 12 385
122 0.8324049375542827 0.0023062767983945795 -0.37594587707217003 153 155 157 0.0013623906062035262 1 1201 12 565
123 0.8599019134315005 0.0022611271024817687 -0.3794192619645088 180 188 187 0.025796238530709947 1 1208 12 587
124 0.9289012637601314 0.002572430985320382 -0.37695752414385647 185 192 191 0.017557382383206904 1 1218 12 614
125 0.9289012637601314 0.002572430985320382 -0.37695752414385647 185 192 191 0.017557382383206904 1 1219 12 615
126 0.9531777970006647 -0.019029058353261318 -0.377977513488843 180 187 187 0.012037219078617678 1 1367 12 726
127 0.8334287893568407 -0.02630228500463521 -0.3797844426322864 183 187 190 0.006820588611865783 1 1433 12 735
128 0.8334287893568407 -0.02630228500463521 -0.3797844426322864 183 187 190 0.006820588611865783 1 1434 12 736
129 0.8606972342376896 -0.06242285130134627 -0.3781003835579376 166 177 177 0.015553023155332272 1 1704 12 928
130 0.8606972342376896 -0.06242285130134627 -0.3781003835579376 166 177 177 0.015553023155332272 1 1705 12 931
131 0.8576157965973277 -0.06564886604404863 -0.3785726164157042 29 35 35 0.013644305481677443 1 1729 12 945
132 0.8979244223781877 0.10960325314067476 -0.3969323343404518 42 32 21 0.01197028035930194 2 685 3 981
133 0.9781701374420437 0.11417818475266574 -0.3962234196823583 62 68 70 0.030789982361269255 2 705 3 984
134 0.8972475883989613 0.09731300024828882 -0.3960922682192015 182 189 185 0.02645936194417878 2 757 3 1031
135 0.8347306553603306 0.0709650810174708 -0.39475899172208534 193 196 199 0.016181047253478787 2 904 3 1154
136 1.0106586859694773 0.08153722387211379 -0.3944509968361813 69 76 82 0.012835949724480105 2 928 3 1119
137 1.0106586859694773 0.08153722387211379 -0.3944509968361813 69 76 82 0.012835949724480105 2 929 3 1120
138 0.8679585274817911 0.06845845816431904 -0.3950442273854686 185 192 193 0.004340583726826069 2 954 3 1180
139 0.9670337588884488 0.07074360603249345 -0.394044995483893 36 44 43 0.011851207419189049 2 978 3 1182
140 0.8361842124489204 0.055902290890383975 -0.3955479456346563 116 116 119 0.01301260152872461 2 1037 3 1250
141 0.8585963337830067 0.049202794248254966 -0.39577095516048255 28 34 34 0.015819131911251866 2 1093 3 1277
142 0.9805781107585845 0.052471170453917554 -0.39370155571332094 181 185 185 0.07490717486750943 2 1106 3 1259 26 858
143 0.894893968417572 0.04642204759737283 -0.3957518530724067 26 29 28 0.014825695230811793 2 1119 3 1291
144 0.894893968417572 0.04642204759737283 -0.3957518530724067 26 29 28 0.014825695230811793 2 1120 3 1292
145 0.959343640304314 0.04843256607507756 -0.39534649143484574 42 47 52 0.01616633045672058 2 1127 3 1285
146 0.9005983611333752 0.04439292989390568 -0.39410703983303697 171 182 179 0.026643047042205575 2 1142 3 1296
147 0.9005983611333752 0.04439292989390568 -0.39410703983303697 171 182 179 0.026643047042205575 2 1143 3 1298
148 0.9603616596540734 0.04458455316706588 -0.3841607822014332 179 185 183 0.10668520604837028 3 1293 12 426
149 0.9693675508410845 0.04420621353435315 -0.39334906371888256 51 54 58 0.010783549811578362 2 1161 3 1303
150 0.9660073510618852 0.04096458211039688 -0.39426579039510884 53 53 59 0.034250036500380894 2 1178 3 1308
151 0.9728230168456321 0.0408964322384462 -0.3944724888547746 185 191 189 0.016782031846134325 2 1179 3 1309
152 0.9357026584885572 0.03801173699148239 -0.3955034958287275 26 32 30 0.025531291272590198 2 1188 3 1321
153 0.9010546628670075 0.03646712253935874 -0.39446336651262665 169 180 178 0.026738736855799587 2 1192 3 1330
154 0.8983032776830056 0.0362097434861267 -0.39550324971750195 174 183 182 0.025513825397153855 2 1195 3 1332
155 0.9640428756378423 0.03470211237701007 -0.3715386413162187 59 67 67 0.02262853855264654 2 1204 27 755
156 0.9702550861246801 0.03260249068039374 -0.39417190873573144 47 53 54 0.010616891782127075 2 1235 3 1344
157 0.9702550861246801 0.03260249068039374 -0.39417190873573144 47 53 54 0.010616891782127075 2 1236 3 1345
158 0.8899344580727006 0.028668121957622996 -0.38505827391781555 35 35 35 0.04986630189076245 3 1364 12 475
159 0.8933201140365986 0.02873305012874303 -0.3946983893962671 34 37 37 0.010802102144706933 2 1253 3 1365
160 0.9778712707631897 0.0292468641385797 -0.3944251205534447 56 62 64 0.007481418043948794 2 1260 3 1355
161 0.9778712707631897 0.0292468641385797 -0.3944251205534447 56 62 64 0.007481418043948794 2 1261 3 1356
162 0.9224671560078915 0.019638939252976526 -0.39517279779811776 171 177 175 0.02137385105115505 2 1316 3 1399
163 0.9224671560078915 0.019638939252976526 -0.39517279779811776 171 177 175 0.02137385105115505 2 1317 3 1400
164 0.9917244451320776 0.01649365532093425 -0.3936875438153607 58 65 69 0.009511163158710301 2 1341 3 1410
165 0.9917244451320776 0.01649365532093425 -0.3936875438153607 58 65 69 0.009511163158710301 2 1342 3 1411
166 0.9918470828243913 0.008819028626835665 -0.3939960537052893 56 64 65 0.012482841303939238 2 1385 3 1429 26 1091
167 0.9209346519054834 0.008104498765659631 -0.38186316747931315 34 37 39 0.014206124472925878 2 1392 12 578
168 0.8361276365305311 0.008206217840407365 -0.3945231315289269 115 115 119 0.022320883728641862 2 1404 3 1457
169 0.8760029886388556 0.007206895968980125 -0.3951166403938687 44 45 50 0.0159788451751973 2 1412 3 1455
170 0.8760029886388556 0.007206895968980125 -0.3951166403938687 44 45 50 0.0159788451751973 2 1413 3 1456
171 0.9327507508374875 0.0014587708833068579 -0.383927235624467 52 48 51 0.12108123694047296 3 1477 12 628
172 0.9421698557600997 -8.071694998177478e-05 -0.39501664202315917 174 185 181 0.07464891646665331 2 1452 3 1481 26 1076
173 0.9421698557600997 -8.071694998177478e-05 -0.39501664202315917 174 185 181 0.07464891646665331 2 1453 3 1482 26 1077
174 0.9277022146188955 -0.0018277313692852755 -0.3950033648831464 31 34 35 0.026725793198127446 2 1469 3 1487
175 0.9216493779848592 -0.0017211659207532776 -0.38148130720059814 29 35 35 0.003493878779221198 2 1470 12 635
176 0.8364248084415359 -0.008680806809662983 -0.3938020961887066 113 113 115 0.020434941495072155 2 1527 3 1535
177 0.9623213771451549 -0.01786656286093044 -0.3958193706038413 90 97 102 0.029861451301986742 2 1555 3 1545
178 0.9036689457515487 -0.024141793050787726 -0.39405515125959767 163 171 168 0.0006398821295181906 2 1604 3 1572
179 0.8963920890740081 -0.023778941310722876 -0.39338342971514095 159 170 168 0.025829877197186154 2 1605 3 1573
180 0.9017426901789137 -0.024410773216192526 -0.3961522818610725 38 41 42 0.27454087829746465 2 1606 3 1574 26 1157
181 0.9017426901789137 -0.024410773216192526 -0.3961522818610725 38 41 42 0.27454087829746465 2 1607 3 1575 26 1158
182 0.9017426901789137 -0.024410773216192526 -0.3961522818610725 38 41 42 0.27454087829746465 2 1608 3 1576 26 1159
183 0.9017426901789137 -0.024410773216192526 -0.3961522818610725 38 41 42 0.27454087829746465 2 1609 3 1577 26 1156
184 0.9012728286005423 -0.03290530337602575 -0.392799907050948 161 167 166 0.0016081729566771847 2 1672 3 1605
185 0.9012728286005423 -0.03290530337602575 -0.392799907050948 161 167 166 0.0016081729566771847 2 1673 3 1606
186 0.8365958770694797 -0.02928216597560659 -0.3931994592666091 116 118 119 0.01312969417777968 2 1674 3 1612
187 0.8365958770694797 -0.02928216597560659 -0.3931994592666091 116 118 119 0.01312969417777968 2 1675 3 1613
188 0.8365958770694797 -0.02928216597560659 -0.3931994592666091 116 118 119 0.01312969417777968 2 1676 3 1614
189 0.8946845912624488 -0.03600360045841923 -0.3966974866040666 30 34 30 0.40303727235139747 2 1701 3 1618 26 1201
190 0.8355611761977477 -0.0340230063399511 -0.393942954646671 149 149 151 0.018352891009275275 2 1715 3 1627
191 0.8347775079345401 -0.034406525613814604 -0.39357958191023246 110 112 113 0.03562763199052471 2 1717 3 1631
192 0.9152173955770977 -0.044792616956930875 -0.39199787930625574 21 24 25 0.005316944225351488 2 1753 3 1647
