# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (x, y, POINT3D_ID)
1 -0.1868136845 -0.6293501845 0.7249084734 -0.2086305291 128.0646453 527.9020959 -430.1482391 1 20251108T154452_343_db6a07e02d25.png

2 -0.186809589 -0.6294163352 0.7248515907 -0.2086322743 202.3063506 518.8653514 -425.0960721 1 20251108T154519_574_866c8bba55d7.png

3 -0.1282768358 -0.6440675496 0.7374718283 -0.1576621306 203.9894107 580.0010405 -340.367663 1 20251108T154543_252_0edfe7d63fed.png

4 -0.1178269292 -0.5953117858 0.777369908 -0.165579946 283.3559877 555.2209317 -328.3841786 1 20251108T154608_191_4f858bd78c1a.png

5 -0.1178453867 -0.595311979 0.7773661507 -0.1655837558 191.6913035 610.9256037 -353.9639675 1 20251108T154639_679_8c3d625bc22d.png

6 -0.08913716488 -0.6002789042 0.7685240445 -0.2027081547 184.8640101 577.2569328 -341.6657063 1 20251108T154726_072_d94058b8cf6f.png

7 -0.08912142832 -0.6003039979 0.7685065091 -0.2027072436 176.9571036 550.7377277 -330.2725164 1 20251108T154743_290_f3fd2bea795f.png

8 0.1276375109 0.7409539888 -0.6339856961 0.1809916837 -27.90358375 552.2519233 -355.1972587 1 20251108T154821_636_659652ba3867.png

9 0.1276699848 0.7409620097 -0.6339623392 0.1810177551 17.57660544 619.9073349 -381.2779519 1 20251108T154846_316_ec5bb9420a3e.png

10 0.1275817131 0.7410328105 -0.6339000895 0.1810081679 12.18902446 631.7878384 -300.4856909 1 20251108T154931_902_0e3dd8cc1412.png

11 0.1680661561 0.7329237017 -0.642873921 0.1459100281 11.31172267 628.3842311 -307.2889504 1 20251108T154951_223_b6c3d9fc3cba.png

12 -0.2749330517 -0.5558681482 0.700885751 -0.3523940733 198.3651005 276.8030414 -450.6893989 1 20251108T155131_474_04c451a44937.png

13 -0.2187617306 -0.5819757661 0.7203637359 -0.3074469074 199.007072 346.2841684 -404.8463965 1 20251108T155146_057_155e2efdebb6.png

14 -0.1987780659 -0.590256844 0.7261297521 -0.2912382561 89.28383105 385.6456716 -409.121115 1 20251108T155217_335_838069cc4fcb.png

15 -0.198749827 -0.5902925638 0.726111464 -0.2912307286 99.32982395 412.6896145 -442.0219861 1 20251108T155236_610_bea07e6384af.png

16 -0.1350717632 -0.6133519121 0.7405707435 -0.2389770376 106.5958465 480.5252351 -368.7575379 1 20251108T155259_065_3a3b3060d4bd.png

17 -0.1821754717 -0.6008888793 0.7569732026 -0.1809315415 94.27277829 486.7353123 -363.4681207 1 20251108T155318_638_4d141ca62906.png

18 -0.1783392099 -0.5981805925 0.7568774243 -0.1936792956 118.0861725 545.0597082 -407.2418865 1 20251108T155338_693_a608f3dab43f.png

19 -0.1193713272 -0.6139686424 0.734450891 -0.2633911181 196.5224724 532.0440799 -395.177481 1 20251108T155429_800_1238e96f9883.png

20 -0.119369266 -0.6139618638 0.7344498077 -0.2634108733 350.9880643 514.8673129 -356.7045846 1 20251108T155448_375_23da2f41c336.png

21 -0.1487042991 -0.6075286133 0.7462517767 -0.2278251549 345.0536605 507.0083722 -372.5133592 1 20251108T155500_165_3629874de2dc.png

22 -0.1321406156 -0.6113602039 0.7397723849 -0.2480209211 359.306469 551.3810667 -389.0596453 1 20251108T155522_839_795b98ce81b7.png

23 -0.1319840718 -0.6112594173 0.7399227803 -0.2479040313 336.751673 463.8847479 -336.9228204 1 20251108T155541_954_6588b6f12c83.png

24 -0.1719332757 -0.6012351387 0.7546511989 -0.1986374203 327.0603423 453.6784325 -358.3098228 1 20251108T155558_703_6809b4aa5d15.png

25 0.1511121481 0.7093118464 -0.6548348724 0.2126807774 -7.37003639 577.6303219 -449.6601309 1 20251108T155739_356_51e2db1d1cb2.png

26 0.1964401033 0.6982177958 -0.6670542362 0.1701230182 -21.72916013 577.4944885 -448.4166075 1 20251108T155756_042_5760a925bffc.png

27 0.2453910977 0.6826088154 -0.6773670271 0.1224839785 -37.14950313 578.4030117 -445.2388492 1 20251108T155810_223_cc5f24cd63e6.png

28 0.1324387746 0.7131988947 -0.6488381031 0.2298182402 -1.890018059 577.937559 -449.7395949 1 20251108T155827_117_f5b4d635f02c.png

